X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,STATE_NAME,PHONE,DISTRICT,FAC_CLASS,NEWSTA,RESOLUTION,WEBSITE,PIN,MAJOR,MINOR
1292801.30899836,182013.950074017,15,650027,784747,65,West Hill Storefront,West Hill,12629 Renton Ave S,98178,Unincorporated King County,WA,(206) 477-1239,RN,6,X,"NEW station; unsure of location/QC-unconfirmed",https://kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,0232000080,023200,0080
1305249.21914186,227098.804129854,16,650030,112265,65,Bellevue Police Department,Bellevue PD,450 110th Ave NE,98004,Bellevue,WA,(425) 452-6917,BE,0,Y,placed manually/QC,https://bellevuewa.gov/city-government/departments/police,3225059199,322505,9199
1301237.09790103,176142.06614852,17,650062,588381,65,Renton Police Department,Renton PD,1055 S Grady Way,98057,Renton,WA,(425) 430-7500,RN,0,Y,placed manually/QC,https://www.rentonwa.gov/cms/One.aspx?portalId=7922741&pageId=8569606,1723059023,172305,9023
1262856.00209118,199231.664982349,18,650065,478814,65,Seattle Police Southwest Precinct,SPD SW Precinct,2300 SW Webster St,98106,Seattle,WA,(206) 733-9800,SE,0,Y,placed manually/QC,https://www.seattle.gov/police/about-us/police-locations/southwest-precinct,7985400296,798540,0296
1279792.73987119,199881.227987692,19,650068,486615,65,Seattle Police South Precinct,SPD South Precinct,3001 S Myrtle St,98108,Seattle,WA,(206) 386-1850,SE,0,Y,placed manually/QC,https://www.seattle.gov/police/about-us/police-locations/south-precinct,7857002115,785700,2115
1275871.00001128,242240.999895275,20,650069,1135638,65,UW Police Department,UW PD,3939 15th Ave NE,98105,Seattle,WA,(206) 543-0507,SE,0,Y,placed manually/QC,http://police.uw.edu/,1142004555,114200,4555
1273581.08398744,238085.437996432,21,650070,419120,65,WSP District 2 Seattle North Detachment,WSP District 2 Seattle N Detatch,811 E Roanoke,98102,Seattle,WA,(206) 720-3040,SE,0,X,"placed manually (bldg. believed to be next to this parcel, but not within an actual parcel)/QC",https://www.wsp.wa.gov/,5535100285,553510,0285
1300525.55995402,213724.909945935,22,650056,187602,65,Mercer Island Police Station,Mercer Island PD,9611 SE 36th St,98040,Mercer Island,WA,(206) 275-7610,MI,0,Y,placed manually/QC,https://www.mercerisland.gov/police,2655500075,265550,0075
1289248.54904352,99860.0451564342,23,650060,729218,65,Pacific Police Department,Pacific PD,133 3rd Ave SE,98047,Pacific,WA,(253) 929-1130,PA,0,Y,placed manually/QC- changed address from 100,https://www.pacificwa.gov/services/police,3355900475,335590,0475
1343758.61095494,195769.439951435,24,650048,571758,65,Issaquah Police Department,Issaquah PD,130 E Sunset Way,98027,Issaquah,WA,(425) 837-3200,IS,0,Y,"placed manually/QC- moved south onto Sunset Way, new website",https://www.issaquahwa.gov/306/Police,2724069035,272406,9035
1304984.59499919,142229.694012776,25,650036,876704,65,Police-Fire Training Center,Police-Fire TC,24523 116th Ave SE,98030,Kent,WA,(253) 856-5853,KE,0,Y,"placed with fire station (located together )/QC- changed address from 24611, name, new website",https://www.facebook.com/people/Kent-PoliceFire-Training-Center/100068813396259/,2022059126,202205,9126
1307598.58025678,260704.99577561,26,650054,1016250,65,Kirkland Police Department,Kirkland PD,11750 NE 118th St,98033,Kirkland,WA,(425) 587-3400,KI,0,Y,placed manually/QC,https://www.kirklandwa.gov/Government/Departments/Police-Department,6209300010,620930,0010
1356345.17764528,271849.262857109,27,650044,125059,65,Duvall Police Department,Duvall PD,26225 NE Burhen Way,98019,Duvall,WA,(425) 788-1519,DU,0,Y,placed manually/QC- moved south to 15500 block,https://www.duvallwa.gov/140/Police-Department,1326069118,132606,9118
1300469.63814986,233472.364873514,28,650042,113972,65,Clyde Hill Police Department,Clyde Hill PD,9605 NE 24th St,98004,Clyde Hill,WA,(425) 454-7187,CH,0,Y,"placed manually/QC, new website",https://www.clydehill.org/departments/police/,8086000380,808600,0380
1268876.71905236,279497.324988768,29,650003,16141,65,Shoreline Police Department,Shoreline PD,17500 Midvale Ave N,98133,Shoreline,WA,(206) 801-2710,KC,1,E,moved manually/QC,https://www.shorelinewa.gov/government/departments/police-department,7770600020,777060,0020
1269749.5076611,205965.247971848,30,650023,766111,65,Metro Transit Police Department,Metro Transit PD,5303 1st Ave S,98108,Seattle,WA,(206) 477-0250,SE,2,N,"in correct location/QC, new phone number, website",https://kingcounty.gov/depts/transportation/metro/about/transit-police.aspx,5247800795,524780,0795
1382895.77907152,194010.710857347,31,650072,194417,65,Snoqualmie Police Department,Snoqualmie PD,34825 SE Douglas St,98065,Snoqualmie,WA,(425) 888-3333,SN,0,Y,placed manually/QC- changed zip from 98288,https://www.snoqualmiewa.gov/187/Police,7851800010,785180,0010
1271418.75005752,223982.187987775,32,650063,834655,65,Seattle Police Headquarters,SPD HQ,610 5th Ave,98104,Seattle,WA,(206) 625-5011,SE,0,Y,"placed manually/QC- changed address from 3rd Ave., new website",https://www.seattle.gov/police/about-us/police-locations/police-hq,0942000750,094200,0750
1294462.79616094,137610.904037774,33,650052,662134,65,Corrections Facility (Jail),Corrections,1230 Central Ave S,98030,Kent,WA,(253) 856-5960,KE,0,Y,"placed manually/QC, new website",https://www.kentwa.gov/departments/police-department/corrections-facility,3462800205,346280,0205
1270741.95908828,260015.899056688,34,650064,263516,65,Seattle Police North Precinct,SPD North Precinct,10049 College Way N,98133,Seattle,WA,(206) 684-0850,SE,0,Y,placed manually/QC- changed zip from 98108,https://www.seattle.gov/police/about-us/police-locations/north-precinct,5464300080,546430,0080
1313535.88399895,277459.004918441,35,650076,81913,65,Woodinville Police Department,Woodinville PD,17301 133rd Ave NE,98072,Woodinville,WA,(425) 877-2279,WO,0,Y,placed manually/QC,https://www.ci.woodinville.wa.us/220/Police,1026059025,102605,9025
1271081.72612527,223421.506038263,36,650083,833489,65,KC Patrol Operations Division,KC Patrol Operations Division,516 3rd Ave,98104,Seattle,WA,(206) 263-2550,KC,0,Y,"added 9/04, new website",https://kingcounty.gov/depts/sheriff/about-us/enforcement/patrol.aspx,0942000860,094200,0860
1319362.83986469,215999.694110274,37,650038,96617,65,WSP District 2 Headquarters and Communications,WSP District 2 HQ,2803 156th Ave SE,98007,Bellevue,WA,(425) 401-7788,BE,0,Y,placed manually/QC- moved one parcel north,https://www.wsp.wa.gov/about-us/contact-us/,1124059072,112405,9072
1292152.61410153,280616.803392857,38,650049,149398,65,Kenmore Police Department,Kenmore PD,18120 68th Ave NE,98028,Kenmore,WA,(206) 477-7455,KM,0,Y,placed manually/QC,https://www.kenmorewa.gov/government/departments/kenmore-police-department,0114100955,011410,0955
1284175.62415002,161553.783973441,39,650081,398703,65,SeaTac Police Department,SeaTac PD,4800 S 188th St,98188,SeaTac,WA,(206) 973-4900,ST,0,Y,"QC- NEW, added 11/03",https://www.seatacwa.gov/government/city-departments/police,3423049197,342304,9197
1266281.6701086,166253.115125939,40,650057,611401,65,Normandy Park Police Department,Normandy Park PD,801 SW 174th St,98166,Normandy Park,WA,(206) 248-7600,NP,0,Y,placed manually/QC,https://normandyparkwa.gov/police-services/,7766200020,776620,0020
1277267.12484369,164841.452923015,41,650021,894588,65,Port of Seattle Police,Port of Sea PD,17801 International Blvd,98158,SeaTac,WA,(206) 787-3490,ST,3,E,"moved to current location/QC- changed addr, name, and moved inside airport, new web site",https://www.portseattle.org/about/port-police,2823049016,282304,9016
1374107.03122911,238588.75129427,42,10001703,,65,Carnation Police Department,Carnation PD,4621 Tolt Ave,98014,Carnation,WA,(425) 333-4190,CA,0,N,updating locations,https://www.carnationwa.gov/police,8658302200,865830,2200
1264922.99992569,190360.999980941,43,650016,500461,65,White Center Storefront,White Center,1327 SW 102nd St,98146,Unincorporated King County,WA,(206) 477-1237,SE,6,X,unsure of location/QC- address matches parcel info,https://kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,7973202900,797320,2900
1310548.48708661,199302.899748027,44,650025,988637,65,Newcastle Police Department,Newcastle PD,12835 Newcastle Way,98056,Newcastle,WA,(425) 649-4444,NE,3,X,tentatively placed manually/unsure location/QC- unconfirmed parcel,https://www.newcastlewa.gov/departments/police,2824059144,282405,9144
1272419.57285902,151425.741893604,45,650043,380127,65,Des Moines Police Department,Des Moines PD,21900 11th Ave S,98198,Des Moines,WA,(206) 878-3301,DM,0,Y,"placed manually/QC, new website",https://www.desmoineswa.gov/cms/one.aspx?portalId=17385088&pageId=17501929,0822049035,082204,9035
1339762.31481369,145067.713927269,46,650005,9258,65,Maple Valley Police Department,Maple Valley PD,22017 SE Wax Rd,98038,Maple Valley,WA,(425) 413-5158,MV,3,E,moved manually/QC,https://www.maplevalleywa.gov/departments-services/police-department,1622069154,162206,9154
1343521.23150843,221666.048591182,47,650011,375887,65,KC Precinct 2 Headquarters,KC Precinct 2 HQ,801 228th Ave SE,98075,Sammamish,WA,(206) 263-9133,SM,3,Y,"placed manualy/QC- changed zip from 98011, added new location",https://kingcounty.gov/depts/sheriff/police-precincts/precinct2.aspx,0424069255,042406,9255
1354768.22804327,75236.7239963561,48,650046,892537,65,WSP District 2 Enumclaw Detatchment,WSP District 2 Enumclaw Detach,333 Griffin Ave,98022,Enumclaw,WA,(360) 825-6154,EN,0,Y,placed manually/QC,https://www.wsp.wa.gov/about-us/contact-us/,2420069274,242006,9274
1292656.35193919,142037.064148694,49,650053,801805,65,Kent Police Department,Kent PD,220 4th Ave S,98032,Kent,WA,(253) 856-5800,KE,0,Y,"placed manually/QC, new website",https://www.kentwa.gov/departments/police-department,9825700835,982570,0835
1266761.99985661,191499.999999523,50,650087,869391,65,Greenbridge Storefront,Greenbridge,9839 8th Ave SW,98106,Unincorporated King County,WA,(206) 296-3332,KC,6,Y,? Occupies same parcel as KC Housing Authority apt complex,https://kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,2895800240,289580,0240
1267250.39323677,174857.376132607,51,650007,528847,65,KC Precinct 4 Headquarters,KC Precinct 4 HQ,14905 6th Ave SW,98166,Burien,WA,(206) 477-2200,SE,6,E,"moved manually/unsure if correct parcel/QC- unconf. parcel, moved across street",https://kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,3207200120,320720,0120
1510781.18242094,259457.770907849,52,650024,72724,65,Skykomish Substation,Skykomish,119 4th St N,98288,Skykomish,WA,(206) 296-3311,SK,4,N,QC- unconfirmed parcel,https://kingcounty.gov/depts/sheriff/police-partnerships/partners-list/skykomish.aspx,7807800670,780780,0670
1340527.91433236,146477.785910264,53,650001,620199,65,KC Precinct 3 Headquarters,KC Precinct 3 HQ,22300 SE 231st St,98038,Maple Valley,WA,(206) 477-6446,MV,1,E,"moved slightly to current location/QC, added new location",https://kingcounty.gov/depts/sheriff/police-precincts/precinct3.aspx,1622069143,162206,9143
1292358.56907019,143542.606085107,54,650082,803272,65,KC Criminal Investigation Division,KC Criminal Investigation Division,401 4th Ave N,98032,Kent,WA,(206) 263-2100,KC,0,Y,"added 9/04, new website",https://kingcounty.gov/depts/sheriff/about-us/enforcement/investigations.aspx,2422049111,242204,9111
1295260.68367277,115224.541002184,55,650029,707661,65,Auburn Police Department,Auburn PD,340 E Main St,98002,Auburn,WA,(253) 288-2121,AU,0,Y,"placed manually/QC, new website",https://www.auburnwa.gov/city_hall/police,7331400460,733140,0460
1309870.92610577,212333.107939526,56,650032,0000000,65,Factoria Police Substation,Factoria Police Substation,4051 Factoria Blvd SE,98006,Bellevue,WA,(425) 452-2880,BE,0,Y,"NEW station; unsure of parcel/QC- moved inside Factoria Mall",https://bellevuewa.gov/city-government/departments/police,2442700060,244270,0060
1321063.59991461,250733.549839273,57,650061,536612,65,Redmond Police Department,Redmond PD,8701 160th Ave NE,98052,Redmond,WA,(425) 556-2500,RM,0,Y,placed manually/QC,https://www.redmond.gov/167/Police,7202030020,720203,0020
1269684.4999171,228404.578093097,58,650067,840695,65,Seattle Police West Precinct,SPD West Precinct,810 Virginia St,98101,Seattle,WA,(206) 684-8917,SE,0,Y,placed manually/QC- moved parcel south onto Virginia,https://www.seattle.gov/police/about-us/police-locations/west-precinct,0660000560,066000,0560
1285175.28586461,278336.01595968,59,650055,94150,65,Lake Forest Park Police Department,Lake Forest Park PD,17425 Ballinger Way NE,98155,Lake Forest Park,WA,(206) 364-8216,LF,0,Y,"placed manually/QC, new website",https://www.cityoflfp.gov/167/Police-Department,4019301663,401930,1663
1277179.59188227,199278.930307776,60,650084,764142,65,KC Airport Law Enforcement,KC Airport Law Enforcement,7277 Perimeter Rd S,98108,Seattle,WA,(206) 296-7392,KC,0,Y,added 9/04,https://kingcounty.gov/depts/sheriff/police-partnerships/partners-list/kcia.aspx,2824049007,282404,9007
1313742.53909744,165015.02639477,61,650008,611396,65,Fairwood Storefront,Fairwood,17620 140th Ave SE,98058,Unincorporated King County,WA,(206) 477-1243,RN,6,X,QC- address from 17240 140th Ave,https://kingcounty.gov/depts/sheriff/police-precincts/precinct3.aspx,7560800010,756080,0010
1302984.26304185,280786.505153194,62,650041,177055,65,Bothell Police Department,Bothell PD,18410 101st Ave NE,98011,Bothell,WA,(425) 486-1254,BO,0,Y,placed manually/QC,http://www.ci.bothell.wa.us/266/Police-Department,0967000310,096700,0310
1269941.39507261,114473.785942018,63,650047,712916,65,Federal Way Police Department,Federal Way PD,33325 8th Ave S,98003,Federal Way,WA,(253) 835-6700,FW,0,Y,placed manually/QC- moved location across street after calling station,https://www.cityoffederalway.com/police,9265000290,926500,0290
1269630.01610219,239152.510993525,64,650079,746418,65,Seattle Police Harbor Patrol Office,SPD Harbor Patrol,1717 N Northlake Pl,98103,Seattle,WA,(206) 684-4071,SE,0,Y,placed manually/QC,https://www.seattle.gov/police/about-us/about-policing/harbor-patrol,4088801930,408880,1930
